# Time series at grid cell:   1   1   1
  Time(hrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.14756E-03                7.31122870671676E-07   4.11607438503088E-06   5.98414255748279E-07   2.17139335966625E-07   3.47230534127573E-07   8.08515639664147E-07   4.00085207719521E-08   7.25584627285789E-12   5.80040521123267E+00   1.75685415214334E-05   2.64820728506104E-04
  2.26884E-03                7.32219418581762E-07   4.11713503387175E-06   5.99794456048103E-07   2.17274240633362E-07   3.51359185825529E-07   8.09014746802399E-07   4.00168464085146E-08   1.38290895588120E-11   5.80080098407714E+00   1.75699016240899E-05   2.64820726468878E-04
  4.51140E-03                7.34409085841478E-07   4.11925492982497E-06   6.02549929143327E-07   2.17544041995484E-07   3.59601718856689E-07   8.10012919544104E-07   4.00334976841791E-08   2.74746257576293E-11   5.80159077844778E+00   1.75726207122595E-05   2.64820722387092E-04
  8.99652E-03                7.38774803524231E-07   4.12348914180136E-06   6.08041305039326E-07   2.18083614609245E-07   3.76028124986298E-07   8.12009105505380E-07   4.00668002336468E-08   5.47658060990180E-11   5.80316340579709E+00   1.75780544393114E-05   2.64820714194172E-04
  1.79668E-02                7.47452529473775E-07   4.13193545744029E-06   6.18946863135610E-07   2.19162653173122E-07   4.08649584569763E-07   8.16000890703008E-07   4.01334053245431E-08   1.09252439748761E-10   5.80628116071259E+00   1.75889042448655E-05   2.64820697690932E-04
  3.59072E-02                7.64599012361540E-07   4.14874129502820E-06   6.40457611041099E-07   2.21320409908794E-07   4.72992528706643E-07   8.23982510297834E-07   4.02666154769575E-08   2.18319565637027E-10   5.81240935564257E+00   1.76105344268545E-05   2.64820664214728E-04
  7.17882E-02                7.98100025451231E-07   4.18201812340645E-06   6.82340333677927E-07   2.25635430714127E-07   5.98268675452620E-07   8.39940886458578E-07   4.05330356612244E-08   4.36453582647627E-10   5.82425673038836E+00   1.76535259919028E-05   2.64820595382532E-04
  1.43550E-01                8.62243733815768E-07   4.24732001791778E-06   7.61988552843158E-07   2.34268964046517E-07   8.36518000033972E-07   8.71858537056608E-07   4.10658755412319E-08   8.72720664899168E-10   5.84646002191638E+00   1.77384995120166E-05   2.64820450192309E-04
  2.87074E-01                9.81057214619317E-07   4.37347983825328E-06   9.07510858464513E-07   2.51583131002501E-07   1.27218582059192E-06   9.35820768370520E-07   4.21315532968879E-08   1.74525092139838E-09   5.88583723749816E+00   1.79048557431333E-05   2.64820129662085E-04
  5.74122E-01                1.19123883489810E-06   4.61118551894383E-06   1.15695067150151E-06   2.86565579937547E-07   2.02400462915892E-06   1.06486849322273E-06   4.42629003876734E-08   3.49029359951584E-09   5.94967271147515E+00   1.82259628521564E-05   2.64819367717612E-04
  1.00000E+00                1.46398011538969E-06   4.93624959408593E-06   1.45573405967654E-06   3.39721911357590E-07   2.95723948992656E-06   1.26051198076676E-06   4.74250495690375E-08   6.07927993234239E-09   6.02119982322203E+00   1.86826460627287E-05   2.64817959582313E-04
  1.85176E+00                1.91959784580146E-06   5.51255924973391E-06   1.80146009572473E-06   4.50648477163342E-07   4.32659240230330E-06   1.66714708114606E-06   5.37492577824941E-08   1.12570762490661E-08   6.11703533265799E+00   1.95506059761253E-05   2.64814096773013E-04
  3.55527E+00                2.64767788675461E-06   6.46371470523449E-06   1.84641367909070E-06   6.89294221585702E-07   5.94465827745743E-06   2.53515746333105E-06   6.63972269335928E-08   2.16117951154371E-08   6.23544835140069E+00   2.12259236566562E-05   2.64802085947157E-04
  5.00000E+00                3.18227314298810E-06   7.12607944045422E-06   1.70575751393688E-06   9.05993112763445E-07   6.93491918956250E-06   3.31599203520041E-06   7.71232402599902E-08   3.03923817815366E-08   6.31030143125414E+00   2.26397563376730E-05   2.64788741536126E-04
  7.88946E+00                4.06064295207024E-06   8.19277197325737E-06   1.40108628355656E-06   1.36756665592091E-06   8.45367951715662E-06   4.95792666480211E-06   9.85733422658720E-08   4.79498118032825E-08   6.40886027335659E+00   2.54652253659488E-05   2.64749877296966E-04
  1.00000E+01                4.63498687994375E-06   8.82069996848670E-06   1.23252263603015E-06   1.72258995509146E-06   9.47063580996053E-06   6.20271855239024E-06   1.14239328184059E-07   6.07708354501909E-08   6.46255667488565E+00   2.75412661203694E-05   2.64714808647515E-04
  1.42211E+01                5.59388667507478E-06   9.83187053358282E-06   1.03847890944446E-06   2.46539742759301E-06   1.12367172939448E-05   8.76065503564453E-06   1.45565178396962E-07   8.64010774585828E-08   6.55140076350648E+00   3.18337784607131E-05   2.64618630796792E-04
  2.26632E+01                6.84924611553081E-06   1.12663973705298E-05   9.60597470495993E-07   4.04186845029838E-06   1.36695586950006E-05   1.40052615975472E-05   2.08179391579283E-07   1.37594134858793E-07   6.76572444026204E+00   4.12871699531186E-05   2.64321847082648E-04
  3.36656E+01                7.65723493724727E-06   1.25142635702023E-05   1.17849549850209E-06   6.21348559758914E-06   1.54364261534198E-05   2.08809504958431E-05   2.89583229696657E-07   2.04144354986617E-07   7.16237743949271E+00   5.51304669779052E-05   2.63759093505724E-04
  4.58357E+01                8.10509062375792E-06   1.34740211934536E-05   1.52539285323227E-06   8.72002720739260E-06   1.66020975655535E-05   2.83993471511192E-05   3.75309124657427E-07   2.77487873527025E-07   7.68887536501933E+00   7.15037489888582E-05   2.62924152892487E-04
  5.00000E+01                8.23001721528923E-06   1.37317402529205E-05   1.63756004979240E-06   9.59259333402895E-06   1.69460291938374E-05   3.09248451213438E-05   4.01097357170475E-07   3.02540980141274E-07   7.90069977311901E+00   7.71098670493229E-05   2.62612684134746E-04
  5.83287E+01                8.43599752893763E-06   1.41982914796075E-05   1.80013387021054E-06   1.13651928703921E-05   1.75082510827376E-05   3.59228193688436E-05   4.07536811078290E-07   3.52500817167786E-07   8.23904220268788E+00   8.86767437866324E-05   2.61894925811751E-04
  7.00000E+01                8.69854772910130E-06   1.47375439893597E-05   1.93988067665955E-06   1.38996916533657E-05   1.82052812587637E-05   4.27986365766991E-05   3.41052688612749E-07   4.22165834458231E-07   8.45326440753067E+00   1.05719795963294E-04   2.60700519957583E-04
  8.75799E+01                9.08143544990255E-06   1.53807505947818E-05   2.17440512398908E-06   1.78117930820734E-05   1.92577855597461E-05   5.28775527763205E-05   2.69915483564431E-07   5.26153168538496E-07   8.48057367263065E+00   1.33589227458667E-04   2.58486490129386E-04
  9.00000E+01                9.13304683888571E-06   1.54480307789965E-05   2.20827930654548E-06   1.83520745285470E-05   1.94035467271206E-05   5.42258690676007E-05   2.61750646899787E-07   5.40439505229065E-07   8.47618998084998E+00   1.37422619187883E-04   2.58171981409443E-04
  9.48401E+01                9.23742887518013E-06   1.55932051023522E-05   2.28095765628659E-06   1.94385493049589E-05   1.96985921750967E-05   5.68975519017813E-05   2.50464432446741E-07   5.68936527046799E-07   8.45614817854661E+00   1.45261261464557E-04   2.57516203677036E-04
  1.04520E+02                9.45087399811878E-06   1.58596339696515E-05   2.44568603097188E-06   2.16338416931718E-05   2.03101252137878E-05   6.21826725082108E-05   2.48351687024945E-07   6.25601314981695E-07   8.36321192135580E+00   1.61605142271933E-04   2.56083645849575E-04
  1.10000E+02                9.57402835531037E-06   1.59942902601975E-05   2.54383777632987E-06   2.28822833287923E-05   2.06644478814472E-05   6.51234012566564E-05   2.53768158898117E-07   6.57556807402624E-07   8.29091404074334E+00   1.71014088017036E-04   2.55233750648344E-04
  1.20000E+02                9.81698943772283E-06   1.62262514742528E-05   2.71775440766260E-06   2.51820220106342E-05   2.13353093419336E-05   7.04276606094334E-05   2.83543777292042E-07   7.15477464526104E-07   8.11343149718764E+00   1.88807033327323E-04   2.53559663606470E-04
  1.30000E+02                1.00890147638321E-05   1.64343362350154E-05   2.81855854026560E-06   2.74985004181766E-05   2.19884260974635E-05   7.56344929635923E-05   3.28270486978212E-07   7.72962699953055E-07   7.92673377595975E+00   2.07097613908298E-04   2.51763787767217E-04
  1.40000E+02                1.03984971827549E-05   1.66239701663601E-05   2.76019650898293E-06   2.98289810789927E-05   2.25571101391783E-05   8.07445126768928E-05   3.82572940418698E-07   8.29986146006289E-07   7.76756717655680E+00   2.25876623029547E-04   2.49849982276809E-04
  1.60000E+02                1.12014153117567E-05   1.69644630373825E-05   2.11398412353835E-06   3.45475977268033E-05   2.35393644903560E-05   9.07498900239471E-05   5.13273079810930E-07   9.42033573659566E-07   7.52627237211533E+00   2.65609115051999E-04   2.45575609282903E-04
  1.94505E+02                1.32444001804518E-05   1.74521642910789E-05   1.10361687143936E-06   4.28115309276889E-05   2.67017870145908E-05   1.07332432250331E-04   7.53732266528492E-07   1.12843599433103E-06   7.25235300277375E+00   3.39719066826838E-04   2.37001835037733E-04
  2.00000E+02                1.35851311022512E-05   1.75099533156778E-05   9.84670878190469E-07   4.41108574666733E-05   2.72805135071744E-05   1.09839226751002E-04   7.92070520403860E-07   1.15790447790449E-06   7.22220578099557E+00   3.51474554223900E-04   2.35604641906029E-04
  2.10990E+02                1.43333019398829E-05   1.76385262984447E-05   8.23612793975522E-07   4.67238261700325E-05   2.86506396436967E-05   1.14786977616852E-04   8.68699848850773E-07   1.21610353187541E-06   7.16683661746066E+00   3.75505616174785E-04   2.32706830539667E-04
  2.30000E+02                1.58301990710152E-05   1.78454704549298E-05   6.40011943085608E-07   5.12640850703816E-05   3.15352357832177E-05   1.23180402483882E-04   1.00055878563278E-06   1.31442908616772E-06   7.08265440952638E+00   4.18502304180719E-04   2.27389331649978E-04
  2.60000E+02                1.87000982825991E-05   1.81398937115368E-05   4.57628847313982E-07   5.84607583019399E-05   3.72427366378448E-05   1.36006660517664E-04   1.20601814975012E-06   1.46330989025684E-06   6.97570342949420E+00   4.89397323466883E-04   2.18336608997794E-04
