# Time series at grid cell:   1   1   1
  Time(hrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E+00                8.17106447730184E-07   4.39625316889997E-06   9.69789058355413E-07   2.35200086651805E-07   4.33833153583234E-06   8.69137771864938E-07   4.35440953951516E-08   2.15559903772447E-10   5.86256006101994E+00   1.81295605304000E-05   2.64486611935202E-04
  1.85176E+00                8.85665462915020E-07   4.61852278429748E-06   1.10762539564542E-06   2.50474056138163E-07   7.21923749821856E-06   9.19670225122052E-07   4.65624581297107E-08   3.98480326782472E-10   5.87792355102456E+00   1.93774007205602E-05   2.63675391977778E-04
  3.55527E+00                1.03189454121779E-06   5.09077303561957E-06   1.03413347447117E-06   2.81809795872948E-07   1.20609102982776E-05   1.02180436351556E-06   5.25970311009546E-08   7.60050319288728E-10   5.84957792661395E+00   2.39859708307042E-05   2.60607956619513E-04
  5.00000E+00                1.16717412529646E-06   5.52516247866833E-06   9.34859477511696E-07   3.09250278969083E-07   1.57925124696696E-05   1.10969308093334E-06   5.77127233829844E-08   1.06243409297819E-09   5.81125513545433E+00   2.93547315922942E-05   2.57008849023762E-04
  7.88946E+00                1.49466225578457E-06   6.56942338413591E-06   8.80027833251059E-07   3.67674069832758E-07   2.24371699880403E-05   1.29307075689028E-06   6.79313046107314E-08   1.64169231338030E-09   5.72714941850733E+00   4.54026828880251E-05   2.46184895372173E-04
  1.00000E+01                1.76229516867008E-06   7.41680250514147E-06   8.91283819126848E-07   4.12087448328995E-07   2.68635750346772E-05   1.42888612615003E-06   7.53868879465626E-08   2.04824490042948E-09   5.67786276589417E+00   5.96049015929378E-05   2.36584165175685E-04
  1.42211E+01                2.40233083896825E-06   9.43219520459407E-06   9.90285793837569E-07   5.06471134945290E-07   3.43570382408802E-05   1.70925711028729E-06   9.02560668512990E-08   2.77758136217139E-09   5.59948884372510E+00   9.55528547791538E-05   2.12230000879442E-04
  2.26632E+01                3.94596704894120E-06   1.42406255786603E-05   1.13716015779417E-06   7.08109079655344E-07   4.49181163374206E-05   2.27345803645962E-06   1.19799706140728E-07   3.84764198447743E-09   5.51763527778805E+00   1.78875253640690E-04   1.55714547706448E-04
  3.95476E+01                7.14707723477693E-06   2.39072383840841E-05   1.02164182768869E-06   1.12227802944376E-06   5.41164987146212E-05   3.30333878849395E-06   1.78287974996344E-07   4.79302467454106E-09   5.50193144906800E+00   3.07296639395745E-04   6.88028080840058E-05
  5.00000E+01                9.03892211416910E-06   2.92012003839809E-05   8.70178499473290E-07   1.37949046468954E-06   5.58995501942552E-05   3.87481268121132E-06   2.14348251980765E-07   5.08717660857997E-09   5.52179477641778E+00   3.58127748726818E-04   3.45892287723970E-05
  7.00000E+01                1.21102310721408E-05   3.74292094885584E-05   6.09056450125270E-07   1.87071828588921E-06   5.48275229104852E-05   4.85938525004558E-06   2.83140198305555E-07   5.24104018275854E-09   5.59365685283947E+00   3.96362655891870E-04   9.45649476051748E-06
  9.00000E+01                1.47247695870665E-05   4.39343121876481E-05   4.44563163369767E-07   2.36708294474182E-06   5.21689007512704E-05   5.75602518877464E-06   3.51868095842355E-07   5.27583193303711E-09   5.66381648233564E+00   4.08504085707915E-04   2.13847882698444E-06
  1.10000E+02                1.70001158176388E-05   4.92502151649035E-05   3.46063756849761E-07   2.87024900498354E-06   4.96886460990333E-05   6.59603543511793E-06   4.20577465088869E-07   5.28254434837672E-09   5.72443694996548E+00   4.12434880286074E-04   4.12601503521179E-07
  1.20000E+02                1.80694814707111E-05   5.16127013746020E-05   3.09301257248766E-07   3.12454031708960E-06   4.84667053205439E-05   7.00115749746512E-06   4.54928749298062E-07   5.28356736927700E-09   5.75119511717300E+00   4.13547877376469E-04   1.25772023048343E-07
  1.30000E+02                1.90802774006383E-05   5.37902051381492E-05   2.81584650554300E-07   3.38029380193240E-06   4.75091785945428E-05   7.39743630660543E-06   4.89278557681531E-07   5.28386225399082E-09   5.77581105075017E+00   4.14366033980217E-04   3.62551859783754E-08
  1.40000E+02                2.00402875966107E-05   5.58086097374368E-05   2.58564338578623E-07   3.63754077399857E-06   4.67433177789792E-05   7.78634295564369E-06   5.23627149517709E-07   5.28394288610602E-09   5.79833918828542E+00   4.15086002168563E-04   9.91384824842100E-09
  1.60000E+02                2.17956927117226E-05   5.94154133756534E-05   2.24120907660161E-07   4.15645404236454E-06   4.57511903205343E-05   8.54557380527096E-06   5.92322049388813E-07   5.28396571490707E-09   5.83775546455840E+00   4.16445913922550E-04   1.40352964691734E-09
  2.00000E+02                2.48382425964672E-05   6.53984274121701E-05   1.79698557623170E-07   5.21046948065744E-06   4.45530928931170E-05   1.00091343511104E-05   7.29702986069086E-07   5.28396854975155E-09   5.90075717536559E+00   4.19094096715524E-04   8.71420402662992E-11
  2.30000E+02                2.69246155806887E-05   6.91940764216901E-05   1.56131886125149E-07   6.00936897978191E-06   4.37631747689560E-05   1.10679255844877E-05   8.32725490336477E-07   5.28396870183304E-09   5.93974334023308E+00   4.21040025429422E-04   6.23128034547846E-12
  2.60000E+02                2.88550310698672E-05   7.25253238606540E-05   1.39567250444617E-07   6.81313385755146E-06   4.32059491737092E-05   1.21002412770718E-05   9.35738185709260E-07   5.28396871151018E-09   5.97376071210449E+00   4.22958040308171E-04   3.98825050901941E-13
