# Time series at grid cell:   1   1   1
  Time(hrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  3.59072E-02                7.31935746703430E-07   4.12471209010467E-06   6.08769080682015E-07   2.18165516209858E-07   4.95567260509918E-07   8.09290615922908E-07   4.01338858530664E-08   1.34139487326845E-11   5.80226206708462E+00   1.75743108390404E-05   2.64819922149111E-04
  7.17882E-02                7.33857584835346E-07   4.13435352209262E-06   6.20377601557269E-07   2.19330412862024E-07   6.47090803346103E-07   8.10579960500468E-07   4.02676735985827E-08   2.68079292641823E-11   5.80437069094060E+00   1.75876352009176E-05   2.64817511561451E-04
  1.43550E-01                7.37668683905403E-07   4.15347027909434E-06   6.43022827876852E-07   2.21660910001526E-07   9.47306551705657E-07   8.13157749132638E-07   4.05352484569664E-08   5.35948611400349E-11   5.80812414624931E+00   1.76327636718387E-05   2.64807888696768E-04
  2.87074E-01                7.45194798678303E-07   4.19121044024756E-06   6.85023000543633E-07   2.26324700608471E-07   1.53597472653929E-06   8.18309883952194E-07   4.10703937025950E-08   1.07160726785661E-10   5.81371905678780E+00   1.77968124083560E-05   2.64769457620232E-04
  5.74122E-01                7.60138255393584E-07   4.26608746185871E-06   7.47185223191015E-07   2.35663332130612E-07   2.66221417925443E-06   8.28601625298688E-07   4.21406508276710E-08   2.14229500163563E-10   5.81691699828784E+00   1.84188162317854E-05   2.64616063870108E-04
  1.00000E+00                7.82919634581193E-07   4.38023568269991E-06   7.76842764192628E-07   2.49544901593411E-07   4.21997224229169E-06   8.43844207468394E-07   4.37284125811643E-08   3.72842318266238E-10   5.80493145449867E+00   1.99838652714200E-05   2.64221012592472E-04
  1.85176E+00                8.35429028111665E-07   4.64358488133087E-06   7.25608441520938E-07   2.77398976030593E-07   7.09848126337170E-06   8.74256050871208E-07   4.69030452534092E-08   6.88319397498082E-10   5.74241144929402E+00   2.56515553961676E-05   2.62771094236317E-04
  3.47994E+00                9.73062263210666E-07   5.33482486739475E-06   7.23916050514521E-07   3.30945009959458E-07   1.24118030144623E-05   9.32187707660416E-07   5.29656445426414E-08   1.27969689917654E-09   5.60373574208941E+00   4.53590609614429E-05   2.57696172517171E-04
  5.00000E+00                1.13359822448221E-06   6.13982500750994E-06   8.08484712421689E-07   3.81214027390329E-07   1.72160133464086E-05   9.86035697584398E-07   5.86184411082107E-08   1.81763210867120E-09   5.50617581790779E+00   7.08749007158650E-05   2.51105377513284E-04
  8.04012E+00                1.57497369609397E-06   8.34867327650606E-06   1.10357754060764E-06   4.82410270344492E-07   2.61573497308702E-05   1.09329308934064E-06   6.98823582342387E-08   2.81056520289669E-09   5.36702582765040E+00   1.45545012182121E-04   2.31767459267244E-04
