# Time series at grid cell: 100   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  4.48738E+00                2.80556777894913E-04   4.74874508597129E-05   7.46233339521911E-09   2.75922183834992E-04   9.43419940290648E-05   6.87956420710815E-04   1.03139078658114E-09   6.39126669148723E-06   7.22762932055973E+00   2.86414744615347E-03   3.41757452356277E-04
  5.48738E+00                3.02946041550897E-04   4.69137225322331E-05   7.58270075763268E-09   2.72688456878829E-04   9.39597557914332E-05   6.77271722515394E-04   9.97763439515566E-10   6.38902031711263E-06   7.23474613258611E+00   2.85107426947440E-03   3.41640733840159E-04
  6.48738E+00                3.17529739064197E-04   4.65345679033649E-05   7.63981492855598E-09   2.70942373318447E-04   9.37988263271918E-05   6.70370307714374E-04   9.86208912461182E-10   6.38731653117012E-06   7.23722114570454E+00   2.84543350817343E-03   3.41552211585456E-04
  7.48738E+00                3.26843297434031E-04   4.63817693714850E-05   7.66375146486212E-09   2.70065978860039E-04   9.37157873363549E-05   6.65677339046032E-04   9.83021576332676E-10   6.38602129023654E-06   7.23787378076994E+00   2.84263173752073E-03   3.41485259805733E-04
  8.48738E+00                3.32920171236764E-04   4.65696760831918E-05   7.66070743666112E-09   2.69654495603620E-04   9.36578938425885E-05   6.62176886124241E-04   9.83017481297578E-10   6.38503386773423E-06   7.23782209917041E+00   2.84090724621395E-03   3.41434715614765E-04
  9.48738E+00                3.37136423769417E-04   4.73083625507372E-05   7.62346905517600E-09   2.69441163532020E-04   9.36107205342953E-05   6.59212466919283E-04   9.84216708544657E-10   6.38427839439132E-06   7.23750144307496E+00   2.83959058295409E-03   3.41396620045019E-04
  1.04874E+01                3.40278243504319E-04   4.89080908108386E-05   7.53789648319799E-09   2.69249968892430E-04   9.35723245373118E-05   6.56363457360913E-04   9.85857017864968E-10   6.38369768645842E-06   7.23708110549737E+00   2.83842809785399E-03   3.41367956977376E-04
  1.14874E+01                3.42743757382623E-04   5.17668732112099E-05   7.38796044095856E-09   2.68954872734676E-04   9.35475220123505E-05   6.53340674975342E-04   9.87635453211997E-10   6.38324863808973E-06   7.23662907382163E+00   2.83732396458461E-03   3.41346436994104E-04
  1.24874E+01                3.44728426253735E-04   5.63409671294190E-05   7.19879768680951E-09   2.68452742707162E-04   9.35529939704422E-05   6.49917608078259E-04   9.89407256653421E-10   6.38289875498358E-06   7.23617841964548E+00   2.83624239487352E-03   3.41330328276669E-04
  1.34874E+01                3.46339649826723E-04   6.30837911705015E-05   7.01494385580258E-09   2.67652965717721E-04   9.35749118848631E-05   6.45899532281702E-04   9.91145218286687E-10   6.38262354104947E-06   7.23573540873651E+00   2.83516771138352E-03   3.41318324918101E-04
  1.44874E+01                3.47651011341762E-04   7.23845063745271E-05   6.79697510566605E-09   2.66481002178984E-04   9.36009056279579E-05   6.41126731417266E-04   9.92851502427029E-10   6.38240452739440E-06   7.23529976989266E+00   2.83409453817462E-03   3.41309445311325E-04
  1.54874E+01                3.48722178374853E-04   8.45236721322187E-05   6.55808564256505E-09   2.64882733390529E-04   9.36313222758493E-05   6.35483101542661E-04   9.94518878344291E-10   6.38222778870776E-06   7.23487346371589E+00   2.83302171656059E-03   3.41302950542803E-04
  1.64874E+01                3.49604341985666E-04   9.96337695120114E-05   6.31227340037334E-09   2.62829450333730E-04   9.36662966344698E-05   6.28905439319188E-04   9.96143410250188E-10   6.38208282640274E-06   7.23445760593437E+00   2.83194866219880E-03   3.41298282606802E-04
  1.74874E+01                3.50340986103331E-04   1.17680276316164E-04   6.07132080746103E-09   2.60320974798300E-04   9.37057227860152E-05   6.21389389172026E-04   9.97724147305249E-10   6.38196172759291E-06   7.23405255411817E+00   2.83087524474287E-03   3.41295018035888E-04
  1.84874E+01                3.50967869049943E-04   1.38464748435038E-04   5.84347947685116E-09   2.57385248820906E-04   9.37493195995858E-05   6.12988190406718E-04   9.99262586546291E-10   6.38185853187034E-06   7.23365802769929E+00   2.82980135240997E-03   3.41292832802263E-04
  1.94874E+01                3.51513398334238E-04   1.61646781056496E-04   5.63354529146890E-09   2.54074806803837E-04   9.37967168815512E-05   6.03805074351188E-04   1.00076202680467E-09   6.38176875407820E-06   7.23327326902351E+00   2.82872684357159E-03   3.41291476541965E-04
  2.04874E+01                3.51999440445756E-04   1.86778687500004E-04   5.44360403917555E-09   2.50461098710907E-04   9.38475270184003E-05   5.93981294745774E-04   1.00222697637056E-09   6.38168902413022E-06   7.23289719929294E+00   2.82765167090550E-03   3.41290753838013E-04
  2.14874E+01                3.52442341114647E-04   2.13345791819303E-04   5.27389904591725E-09   2.46627822840226E-04   9.39013826805812E-05   5.83682147260691E-04   1.00366269411949E-09   6.38161681470131E-06   7.23252853677927E+00   2.82657585337226E-03   3.41290510765689E-04
  2.24874E+01                3.52853984960184E-04   2.40806052325867E-04   5.12355906295943E-09   2.42664353788660E-04   9.39579539753693E-05   5.73083193468425E-04   1.00507479517738E-09   6.38155023499500E-06   7.23216589896365E+00   2.82549943820737E-03   3.41290625269466E-04
  2.34874E+01                3.53242780468546E-04   2.68624539111657E-04   4.99112117502191E-09   2.38660028171369E-04   9.40169535082277E-05   5.62358240160543E-04   1.00646892362780E-09   6.38148787435035E-06   7.23180788837833E+00   2.82442248351514E-03   3.41291000223516E-04
  2.44874E+01                3.53614512089988E-04   2.96300344827032E-04   4.87487179262488E-09   2.34699694714948E-04   9.40781345729168E-05   5.51669904479527E-04   1.00785050057433E-09   6.38142868354297E-06   7.23145315932766E+00   2.82334505082985E-03   3.41291558336462E-04
  2.54874E+01                3.53973041259004E-04   3.23385286767740E-04   4.77305284133308E-09   2.30860633344447E-04   9.41412860374258E-05   5.41162989447737E-04   1.00922454572034E-09   6.38137188469186E-06   7.23110046551148E+00   2.82226720144461E-03   3.41292238313714E-04
  2.64874E+01                3.54320861528641E-04   3.49495006915954E-04   4.68397715833747E-09   2.27210736344367E-04   9.42062260960405E-05   5.30960471282970E-04   1.01059556476233E-09   6.38131690294364E-06   7.23074869036814E+00   2.82118899447490E-03   3.41292991880992E-04
  2.74874E+01                3.54659524733813E-04   3.74313766430983E-04   4.60608639818199E-09   2.23807727680225E-04   9.42727960518238E-05   5.21161666119634E-04   1.01196749181233E-09   6.38126331474407E-06   7.23039686289157E+00   2.82011048589807E-03   3.41293781412455E-04
  2.84874E+01                3.54989959488466E-04   3.97594464422427E-04   4.53797427240080E-09   2.20699156807839E-04   9.43408546825015E-05   5.11842064454781E-04   1.01334367476775E-09   6.38121080877844E-06   7.23004416207660E+00   2.81903172818824E-03   3.41294578000373E-04
  2.94874E+01                3.55312703395557E-04   4.19155336829648E-04   4.47838990820143E-09   2.17922915572249E-04   9.44102734096371E-05   5.03054346185007E-04   1.01472689175711E-09   6.38115915656134E-06   7.22968991310739E+00   2.81795277032040E-03   3.41295359862754E-04
  3.04874E+01                3.55628068150635E-04   4.38874551482525E-04   4.42623055535569E-09   2.15508067338944E-04   9.44809323254678E-05   4.94830169453015E-04   1.01611938816015E-09   6.38110819038680E-06   7.22933357805076E+00   2.81687365799648E-03   3.41296111021141E-04
  3.14874E+01                3.55936253587500E-04   4.56683618505743E-04   4.38052923953323E-09   2.13475828250269E-04   9.45527170589208E-05   4.87182425760717E-04   1.01752292569144E-09   6.38105778685849E-06   7.22897474329201E+00   2.81579443399434E-03   3.41296820199637E-04
  3.24874E+01                3.56237423460979E-04   4.72560251480099E-04   4.34044066483140E-09   2.11840589894436E-04   9.46255164359148E-05   4.80107747900065E-04   1.01893883718804E-09   6.38100785466991E-06   7.22861310538417E+00   2.81471513856590E-03   3.41297479907886E-04
  3.34874E+01                3.56531752827506E-04   4.86521081652641E-04   4.30522724703802E-09   2.10610914616323E-04   9.46992208830753E-05   4.73589133339980E-04   1.02036808271862E-09   6.38095832557716E-06   7.22824845646420E+00   2.81363580982987E-03   3.41298085676447E-04
  3.44874E+01                3.56819454461461E-04   4.98614458513165E-04   4.27424629062164E-09   2.09790466945315E-04   9.47737215242432E-05   4.67598599164689E-04   1.02181130424221E-09   6.38090914778927E-06   7.22788066996720E+00   2.81255648411693E-03   3.41298635417553E-04
  3.54874E+01                3.57100789876365E-04   5.08913463390104E-04   4.24693879501714E-09   2.09378867262726E-04   9.48489099183178E-05   4.62099816282999E-04   1.02326887722964E-09   6.38086028117209E-06   7.22750968706104E+00   2.81147719623449E-03   3.41299128887813E-04
  3.64874E+01                3.57376069161977E-04   5.17509207922726E-04   4.22282005529745E-09   2.09372468160237E-04   9.49246783823172E-05   4.57050684377233E-04   1.02474095844352E-09   6.38081169381095E-06   7.22713550402112E+00   2.81039797962606E-03   3.41299567232953E-04
  3.74874E+01                3.57645642912446E-04   5.24504472100268E-04   4.20147202630459E-09   2.09765061654297E-04   9.50009208343845E-05   4.52405810397574E-04   1.02622752951979E-09   6.38076335958721E-06   7.22675816064939E+00   2.80931886640902E-03   3.41299952598701E-04
  3.84874E+01                3.57909888896365E-04   5.30007742248364E-04   4.18253729878706E-09   2.10548528198378E-04   9.50775340780526E-05   4.48118848093413E-04   1.02772843620564E-09   6.38071525650622E-06   7.22637772978828E+00   2.80823988728124E-03   3.41300287796138E-04
  3.94874E+01                3.58169195695324E-04   5.34127724757758E-04   4.16571446337758E-09   2.11713437714321E-04   9.51544194323865E-05   4.44144649293597E-04   1.02924342318584E-09   6.38066736557903E-06   7.22599430796213E+00   2.80716107129647E-03   3.41300576012324E-04
